Office Name,Office type,Office province,Phone number,Email address,Physical address,Website,Contact person,Link to Google Maps,Latitude,Longitude
Legal Aid SA Vredenburg Satellite Office,Legal Aid South Africa,Western Cape,(022) 713 1006,,"1st Floor, Standard Bank Building, 20 Main Street, Vredenburg, 7380",www.legal-aid.co.za,Mr Renaat Bodart,,-32.906597,17.9889717
Legal Aid SA Stellenbosch Local Office,Legal Aid South Africa,Western Cape,(021) 882 9221,,"Office 201, 2nd Floor, Eikestad Mall, Bird Street, Stellenbosch, 7600",www.legal-aid.co.za,Mr Shawn Flowers,,-33.9354089,18.8600011
Legal Aid SA Vredendal Local Office,Legal Aid South Africa,Western Cape,(027) 201 1030,,"9 Dorp Street, Vredendal, 8160",www.legal-aid.co.za,Mr Janus Roothman,,-31.6642884,18.509006
Legal Aid SA Calvinia Satellite Office,Legal Aid South Africa,Western Cape,(027) 341 2240,,"20 Hantam Street, Calvinia",www.legal-aid.co.za,,,-31.4728524,19.7730873
Legal Aid SA Springbok Satellite Office,Legal Aid South Africa,Western Cape,(027) 718 2449,,"Sten Centre, Office 4, 17 Van Riebeeck Street, Springbok, 8240","
www.legal-aid.co.za",,,-29.6682142,17.8820711
Legal Aid SA Worcester Local Office,Legal Aid South Africa,Western Cape,(023) 348 4040,,"1st Floor, WC Building, corner High & Stockenstrom Streets, Worcester, 6850","
www.legal-aid.co.za",Ms Liezel du Toit,,-33.6430813,19.4471276
Legal Aid SA Eastern Cape Provincial Office,Legal Aid South Africa,Eastern Cape,(041) 363 8863,,"5 Mangold Street, Newtown Park, Port Elizabeth, 6001","
www.legal-aid.co.za",Mr Hope Bambiso,,-33.9469013,25.5746076
Legal Aid SA Aliwal North Local Office,Legal Aid South Africa,Eastern Cape,(051) 633 2530,,"67 Somerset Street, Aliwal North, 9750","
www.legal-aid.co.za",Ms Pindiwe Kuzane,,-30.6925055,26.7089553
Legal Aid SA Sterkspruit Satellite Office,Legal Aid South Africa,Eastern Cape,(051) 611 0348,,"79 Main Street, Sterkspruit","
www.legal-aid.co.za",,,-30.524964,27.3645855
Legal Aid SA Butterworth Local Office,Legal Aid South Africa,Eastern Cape,(047) 491 0006,,"ECDC Building, 24 High Street, Butterworth","
www.legal-aid.co.za",Mr Lunga Marenene,,-32.3317255,28.1428484
Legal Aid SA East London Local Office,Legal Aid South Africa,Eastern Cape,(043) 704 4700,,"33 Fleet Street (Commissioner Street entrance), East London, 5200","
www.legal-aid.co.za",Ms Tobeka Maqwati,,-33.0193415,27.9083542
Legal Aid SA Graaff-Reinet Local Office,Legal Aid South Africa,Eastern Cape,(049) 807 2500,,"64 Church Street, Graaff-Reinet, 6280","
www.legal-aid.co.za",Ms Sylvia Mlalandle,,-32.2539695,24.5363523
Legal Aid SA Somerset East Satellite Office,Legal Aid South Africa,Eastern Cape,(042) 243 0610,,"Visser Centre,12 Nojoli Street, Somerset East, 5850","
www.legal-aid.co.za",,,-32.7186873,25.5886927
Legal Aid SA Cradock Satellite Office,Legal Aid South Africa,Eastern Cape,(048) 881 4867,,"Market Square, Adderley Street, Cradock, 5880","
www.legal-aid.co.za",,,-32.1649038,25.6166893
Legal Aid SA Grahamstown Local Office,Legal Aid South Africa,Eastern Cape,(046) 622 9350,,"69 High Street, Grahamstown, 6140","
www.legal-aid.co.za",Ms Imkitha Salman-Beya,,-33.30934,26.526992
Legal Aid SA Fort Beaufort Satellite Office,Legal Aid South Africa,Eastern Cape,(046) 645 2270,,"37 Henrietta Street, Fort Beaufort, 5720","
www.legal-aid.co.za",,,-32.7793216,26.6308294
Legal Aid SA King Williams Town Local Office,Legal Aid South Africa,Eastern Cape,(043) 604 6600,,"Old Mutual Building, 2nd Floor, Corner Cathcart & Mclean Streets, King Williams","
www.legal-aid.co.za",Mr Phumlani Dlamkile,,-32.877851,27.389109
Legal Aid SA Stutterheim Satellite Office,Legal Aid South Africa,Eastern Cape,(043) 683 2973,,"75 Hill Street, Stutterheim, 4930","
www.legal-aid.co.za",,,-32.5700476,27.4220036
Legal Aid SA Mthatha Local Office,Legal Aid South Africa,Eastern Cape,(047) 501 4600,,"PRD Building, 98 Sutherland Street, Mthatha","
www.legal-aid.co.za",Mr Mandla Mngaza,,-31.5880781,28.7842602
Legal Aid SA Lusikisiki Satellite Office,Legal Aid South Africa,Eastern Cape,(039) 253 1442,,"Office No. 9 & 10, Embassy Building, AMCA Road, Lusikisiki","
www.legal-aid.co.za",,,-31.3683458,29.5687646
Legal Aid SA Bizana Satellite Office,Legal Aid South Africa,Eastern Cape,(039) 251 0098,,"
159 Main Street, Bizana","
www.legal-aid.co.za",,,-30.8460263,29.8410174
Legal Aid SA Mount Frere Satellite Office,Legal Aid South Africa,Eastern Cape,(039) 255 1473,,"Erf 106 Canca Street, Mt Frere","
www.legal-aid.co.za",,,-30.8918332,28.9819731
Legal Aid SA Port Elizabeth Local Office,Legal Aid South Africa,Eastern Cape,(041) 408 2800,,"1 Uitenhage Road, North End, Port Elizabeth","
www.legal-aid.co.za",Ms Lynette Franklin,,-33.9351406,25.604419
Legal Aid SA Humansdorp Satellite Office,Legal Aid South Africa,Eastern Cape,(042) 295 2794,,"Tredalux Building, 23 Main Street (at the rear), Humansdorp, 6300","
www.legal-aid.co.za",,,-34.0027188,24.7439749
Legal Aid SA Queenstown Local Office,Legal Aid South Africa,Eastern Cape,(045) 839 3204,,"No 2-4 Shepstone Road, Jeantel Building, Erf 5273, Queenstown, 5319","
www.legal-aid.co.za",Ms Yolundi Ngxola-Tshona,,-31.8950315,26.8718701
Legal Aid SA Elliot Satellite Office,Legal Aid South Africa,Eastern Cape,(045) 931 1984,,"18 Market Street, Elliot, 5460","
www.legal-aid.co.za",,,-31.312988,27.8370041
Legal Aid SA Uitenhage Local Office,Legal Aid South Africa,Eastern Cape,(041) 991 1811,,"32-36 Baird Street, Uitenhage, 6230","
www.legal-aid.co.za",Ms Wongiwe Makhenyane,,-33.768911,25.396019
Legal Aid SA Kirkwood Satellite Office,Legal Aid South Africa,Eastern Cape,(042) 230 0713,,"32B John Street, Kirkwood","
www.legal-aid.co.za",,,-33.4043093,25.4435823
Legal Aid SA KwaZulu-Natal Provincial Office,Legal Aid South Africa,KwaZulu-Natal,(031) 717 8450,,"7th Floor Charter House, Cnr Crompton & Union Street, Pinetown, 3600","
www.legal-aid.co.za",Mr Vela Mdaka,,-29.8142047,30.8618687
Legal Aid SA Durban Local Office,Legal Aid South Africa,KwaZulu-Natal,(031) 304 0100,,"The Marine Building, Ground Floor, 22 Dorothy Nyembe Street (formerly known as Gardiner Street), Durban, 4001","
www.legal-aid.co.za",Ms Nomsa Nkosi,,-29.8609396,31.0254332
Legal Aid Empangeni Local Office,Legal Aid South Africa,KwaZulu-Natal,(035) 792 4949,,"Mazuli House, 7 Maxwell Street, Empangeni, 3008","
www.legal-aid.co.za",Ms Lungile Magoso,,-28.7391548,31.8945141
Legal Aid SA Ingwavuma Satellite Office,Legal Aid South Africa,KwaZulu-Natal,(035) 591 0950,,"Kosibay Hot Chicken complex, shop no. 4, Skhemelele area, Kwangwanase, 3973","
www.legal-aid.co.za",,,-27.0002374,32.7576589
Legal Aid SA Mkuze Satellite Office,Legal Aid South Africa,KwaZulu-Natal,(035) 573 1655,,"Shop 22F, Mkuze Plaza, Old Main Road, Mkuze, 3974","
www.legal-aid.co.za",,,-27.6178353,32.0340229
Legal Aid SA Ladysmith Local Office,Legal Aid South Africa,KwaZulu-Natal,(036) 638 2500,,"65/67 Queens Street, Ladysmith, 3370","
www.legal-aid.co.za",Mr Sthembiso Khumalo,,-28.55886,29.77903
Legal Aid SA Estcourt Satellite Office,Legal Aid South Africa,KwaZulu-Natal,(036) 352 1997,,"Shop No 1, 127 Albert Street, Estcourt, 3310","
www.legal-aid.co.za",,,-29.0073605,29.8750795
Legal Aid SA Newcastle Local Office,Legal Aid South Africa,KwaZulu-Natal,(034) 328 7100,,"65 Scott Street, Newcastle, 2940","
www.legal-aid.co.za",Ms Fathima Buckus,,-27.7578842,29.9321095
Legal Aid SA Dundee Satellite Office,Legal Aid South Africa,KwaZulu-Natal,(034) 212 4460,,"Unit 13, 56 Smith Street, Dundee, 3000","
www.legal-aid.co.za",,,-28.1611175,30.2402181
Legal Aid SA Pietermaritzburg Local Office,Legal Aid South Africa,KwaZulu-Natal,(033) 394 2190,,"187 Hoosen Haffejee Street, Pietermaritzburg, 3201","
www.legal-aid.co.za",Ms Lynn Holtshausen (Acting),,-29.6016077,30.3737363
Legal Aid SA Greytown Satellite Office,Legal Aid South Africa,KwaZulu-Natal,(033) 417 2146,,"Shop No 1, 40 Bell Street, Greytown, 3250","
www.legal-aid.co.za",,,-29.0577638,30.5914417
Legal Aid SA Bulwer Satellite Office,Legal Aid South Africa,KwaZulu-Natal,(039) 832 0515 ,,"Shop 5, Stavcom Building, Main Road, Bulwer","
www.legal-aid.co.za",,,-29.8076573,29.7599761
Legal Aid SA Pinetown Local Office,Legal Aid South Africa,KwaZulu-Natal,(031) 719 2700,,"ABSA Building, 1st Floor, 1 Church Road, Pinetown, 3600","
www.legal-aid.co.za",Mr Vis Nair,,-29.8345022,30.8384093
Legal Aid SA Port Shepstone Local Office,Legal Aid South Africa,KwaZulu-Natal,(039) 688 9600,,"2nd Floor MB Centre, 49 Aiken Street, Port Shepstone, 4240","
www.legal-aid.co.za",Mr Roger Jasson,,-30.737384,30.450675
Legal Aid SA Kokstad Satellite Office,Legal Aid South Africa,KwaZulu-Natal,(039) 727 5081,,"29 Barker Street, Kokstad, 4700","
www.legal-aid.co.za",,,-30.5503243,29.4285202
Legal Aid SA Ixopo Satellite Office,Legal Aid South Africa,KwaZulu-Natal,(039) 834 9392,,"Shop No 3, Ixopo Bottlestore Building, Margaret Street, Ixopo, 3276","
www.legal-aid.co.za",,,-30.1529662,30.0587218
Legal Aid SA Umlazi Local Office,Legal Aid South Africa,KwaZulu-Natal,(031) 942 1002,,"V1332, Ithala Industrial Park, Cnr Mangosuthu Highway & Road 1902, Umlazi, 4031","
www.legal-aid.co.za",Mr Mandla Ntobela,,-29.9575554,30.8346277
Legal Aid SA Umzinto Satellite Office,Legal Aid South Africa,KwaZulu-Natal,(031) 942 1001,,"Office A11, Hypersingh Centre, Cnr Court & Textile Road, Umzinto","
www.legal-aid.co.za",,,-30.307686,30.6727978
Legal Aid SA Verulam Local Office,Legal Aid South Africa,"
KwaZulu-Natal",(032) 533 2654,,"Suite 1, 1st Floor, Ayesha Razak Centre, 23 Groom Street, Verulam, 4340",www.legal-aid.co.za,Mr Sibuko Mashaba,,-29.6437915,31.0486628
Legal Aid SA Stanger Satellite Office,Legal Aid South Africa,KwaZulu-Natal,"
(032) 551 3740",,"Suite 1 Stanger Mall, Stanger Mall, 55 King Shaka Street, Stanger, 4450","
www.legal-aid.co.za",,,-29.3390396,31.2928033
Legal Aid SA Vryheid Local Office,Legal Aid South Africa,KwaZulu-Natal,(034) 989 8300,,"116 Landdrost Street, Vryheid, 3100","
www.legal-aid.co.za",,,-27.7679731,30.7964301
Legal Aid SA Ulundi Satellite Office,Legal Aid South Africa,KwaZulu-Natal,(035) 870 0832,,"Fairbreeze Office Park, Princess Magogo Street, Ulundi, 3838","
www.legal-aid.co.za",,,-28.3000579,31.4262839
Legal Aid SA Free State/North West Provincial Office,Legal Aid South Africa,Free state,(051) 412 8040 ,,"Hydro Park Building, 100 Kellner Street, Westdene, Bloemfontein, 9301","
www.legal-aid.co.za",Mr Tshotlego Makamedi,,-29.10844,26.20648
Legal Aid SA Bethlehem Local Office,Legal Aid South Africa,Free State,(058) 303 6824,,"24 corner Commissioner & Naude Streets, Bethlehem, 9700","
www.legal-aid.co.za",Mr Wouter de Villiers,,-28.2305558,28.30629
Legal Aid SA Ficksburg Satellite Office,Legal Aid South Africa,Free State,(051) 933 3061,,"15 Erwee Street, Ficksburg, 9730","
www.legal-aid.co.za",,,-28.868537,27.8732165
Legal Aid SA Frankfort Satellite Office,Legal Aid South Africa,Free State,(058) 813 1624,,"33 JJ Hadebe Street, Frankfort, 9830","
www.legal-aid.co.za",,,-27.2713332,28.4947236
Legal Aid SA Bloemfontein Local Office,Legal Aid South Africa,Free State,(051) 447 9915,,"Fedsure Building, 4th Floor, 49 Charlotte Maxeke Street, Bloemfontein, 9300","
www.legal-aid.co.za",Mr Machini Motloung,,-29.11751,26.21872
Legal Aid SA Botshabelo Local Office,Legal Aid South Africa,Free State,(051) 534 4398,,"Shop No. 1, Re-A-Hola, Shopping Complex, Botshabelo, 9781","
www.legal-aid.co.za",Mr Muziwandile Nhlapo,,-29.232127,26.7090031
Legal Aid SA Ladybrand Satellite Office,Legal Aid South Africa,Free State,(051) 924 0350,,"30 Joubert Street, Ladybrand, 9745","
www.legal-aid.co.za",,,-29.1919793,27.4588347
Legal Aid SA Kroonstad Local Office,Legal Aid South Africa,Free State,(056) 216 4800,,"99 Murray Street, Kroonstad, 9501","
www.legal-aid.co.za",Ms Anele Tshapa,,-27.6707364,27.2344842
Legal Aid SA Phuthaditjhaba Local Office,Legal Aid South Africa,Free State,(058) 713 5000,,"FDC Building, corner Motloung & Setai Streets, Phuthaditjhaba, 9866","
www.legal-aid.co.za",Mr Tsepo Mosetlhe,,-28.4836381,28.8480284
Legal Aid SA Vrede Satellite Office,Legal Aid South Africa,Free State,(058) 913 3521,,"18A Ras Street, Vrede, 9835","
www.legal-aid.co.za",,,-27.452382,29.1506941
Legal Aid SA Welkom Local Office,Legal Aid South Africa,Free State,(057) 357 2847,,"Archiquant Building, 8 Heeren Street, Welkom, 9460","
www.legal-aid.co.za",Mr Puseletso Mokoena,,-27.9775503,26.7376973
Legal Aid SA Gauteng Provincial Office,Legal Aid South Africa,Gauteng,(012) 664 2921,,"Selborne Centre, 144 Cantonments Road, Lyttelton, Pretoria, 0157","
www.legal-aid.co.za",Advocate Wilna Lambley,,-25.8325588,28.2000128
Legal Aid SA Alexandra Local Office,Legal Aid South Africa,Gauteng,(011) 786 8170,,"Yarona Building, 1st Floor, 89 Watt Avenue, Wynberg, 2090","
www.legal-aid.co.za",Ms Nelisa Soji,,-26.1100843,28.0864151
Legal Aid SA Benoni Local Office,Legal Aid South Africa,Gauteng,(011) 845 4311,,"18 Howard Street, Benoni","
www.legal-aid.co.za",Ms Silindile Hlatshwayo,,-26.1893677,28.3137191
Legal Aid SA Nigel Satellite Office,Legal Aid South Africa,Gauteng,(011) 814 5159,,"Kruger and Okes, 23 Kingsway Street, Nigel","
www.legal-aid.co.za",,,-26.4227879,28.469017
Legal Aid SA Ga-Rankuwa Local Office,Legal Aid South Africa,Gauteng,(012) 700 1416,,"Direla Complex, 222 Main Street, Ga-Rankuwa Industrial, Ga-Rankuwa, 0208","
www.legal-aid.co.za",Mr Lungelo Mdletshe,,-25.5541135,27.9801066
Legal Aid SA Germiston Local Office,Legal Aid South Africa,Gauteng,(011) 842 7300,,"United House, 2nd and 3rd Floor, 175 Meyer Street, corner Meyer and Library","
www.legal-aid.co.za",Ms Aysha Gani,,,
Legal Aid SA Johannesburg Local Office,Legal Aid South Africa,Gauteng,(011) 870 1480,,"56 Main Street, Marshalltown, Johannesburg, 2000","
www.legal-aid.co.za",Ms Nokuphiwa Nguqu,,-26.20758,28.03718
Legal Aid SA Krugersdorp Local Office,Legal Aid South Africa,Gauteng,(011) 660 2335,,"51 Burger Street, Krugersdorp, 1739","
www.legal-aid.co.za",Mr Stephen Mofokeng,,-26.1041029,27.771111
Legal Aid SA Pretoria Local Office,Legal Aid South Africa,Gauteng,(071) 084 6750,,"Locarno House, 4th Floor, 317 Francis Baard Street, Pretoria","
www.legal-aid.co.za",Ms Flavia Isola,,-25.7490943,28.194323
Legal Aid SA Soshanguve Local Office,Legal Aid South Africa,Gauteng,(012) 797 2721,,"Medicos Centre, Stand No. 2093, Block H, Soshanguve, 0152","
www.legal-aid.co.za",Mr Michael Ramaphosa,,-25.5237167,28.1101742
Legal Aid SA Soweto Local Office,Legal Aid South Africa,"
Gauteng",(011) 938 3547,,"Maponya Mall, Office 403 & 411A, Chris Hani Road, Klipspruit","
www.legal-aid.co.za",Mr Mmeli Motsepe,,-26.260172,27.8986258
Legal Aid SA Westonaria Satellite Office,Legal Aid South Africa,Gauteng,(011) 753 2604,,"Elizabeth Centre, Shop No. 3, President Steyn Street, Westonaria, 1779","
www.legal-aid.co.za",,,-26.3178076,27.6505374
Legal Aid SA Tembisa Local Office,Legal Aid South Africa,Gauteng,(011) 316 0197,,"Tembisa MegaMart Mall, Shop 42, Botswana Road, Tswelopelo Section, Tembisa","
www.legal-aid.co.za",Advocate Elizabeth Nieuwoudt,,-25.9633817,28.2117947
Legal Aid SA Vereeniging Local Office,Legal Aid South Africa,Gauteng,(016) 421 3527,,"8 Jasmine Mansions, 28 Senator Marks Avenue, Vereeniging, 1938","
www.legal-aid.co.za",Mr Thami Manaba,,-26.677056,27.9282432
Legal Aid SA Heidelberg Satellite Office,Legal Aid South Africa,Gauteng,(016) 341 4430,,"Eslin Building, Portion 4, 24 Uekerman Street, Heidelberg, 1441","
www.legal-aid.co.za",,,-26.4987679,28.354981
Legal Aid SA Limpopo/Mpumalanga Provincial Office,Legal Aid South Africa,Mpumalanga,(015) 296 0117,,"Number 3 Cormar Park, Rhodes Drift Avenue, Bendor, Polokwane, 0700","
www.legal-aid.co.za",Ms Mpho Kgabi,,-23.8913958,29.4870201
Legal Aid SA Ermelo Local Office,Legal Aid South Africa,Mpumalanga,(017) 819 7291,,"14 Joubert Street, Ermelo, 2350","
www.legal-aid.co.za",Ms Shameema Essak (Acting),,-26.5219185,29.9847801
Legal Aid SA Piet Retief Satellite Office,Legal Aid South Africa,Mpumalanga,(017) 826 4567,,"14 Kruger Street, Piet Retief, 2380","
www.legal-aid.co.za",,,-27.0045602,30.8029157
Legal Aid SA Eerstehoek Satellite Office,Legal Aid South Africa,Mpumalanga,(017) 883 7931,,"Stand Number 88, Nhlazatshe G, Elukwatini, 1192","
www.legal-aid.co.za",,,-26.06274493,30.7651654
Legal Aid SA Middelburg Local Office,Legal Aid South Africa,Mpumalanga,(013) 243 5964,,"5A Laver Street, Middelburg, 1050","
www.legal-aid.co.za",Ms Jacobeth Rampa,,-25.7679756,29.4527084
Legal Aid SA Groblersdal Satellite Office,Legal Aid South Africa,Mpumalanga,(013) 262 4770 ,,"Eldorado 7, Voortrekker Street, Groblersdal, 470","
www.legal-aid.co.za",,,-25.1702041,29.399997
Legal Aid SA Siyabuswa Satellite Office,Legal Aid South Africa,Mpumalanga,(013) 973 3963,,"1664 A Maqhawe street, Siyabuswa","
www.legal-aid.co.za",,,-25.1104937,29.0660364
Legal Aid SA Nelspruit Local Office,Legal Aid South Africa,Mpumalanga,(013) 756 4500,,"Mpumalanga High Court Building, 3rd Floor, East Wing, Samora Machel Drive, Nelspruit, 1200","
www.legal-aid.co.za",Mr Sipho Ndhlovu,,-25.4731632,30.9615781
Legal Aid SA Burgersfort Satellite Office,Legal Aid South Africa,Mpumalanga,(013) 231 7058,,"Suite 2, Umshanti Building, Ground Floor, 83 Aloe Street, Aloe Ridge West, 1150","
www.legal-aid.co.za",,,-34.0186735,20.5396087
Legal Aid SA Bushbuckridge Satellite Office,Legal Aid South Africa,Mpumalanga,(013) 799 1832,,"R40 Road, Protea Building, Bushbuckridge, 1280","
www.legal-aid.co.za",,,-24.7829787,31.0664103
Legal Aid SA Witbank Local Office,Legal Aid South Africa,Mpumalanga,(013) 656 5290,,"No. 17, corner Northey & Botha Streets, Witbank, 1035","
www.legal-aid.co.za",Mr Evans Mabitsela,,-25.875998,29.216408
Legal Aid SA Secunda Satellite Office,Legal Aid South Africa,Mpumalanga,(017) 634 8532,,"2nd Floor, Old Mutual Building, Hoorwood Street, Secunda Complex, Secunda, 2302","
www.legal-aid.co.za",,,-26.5061748,29.186101
Legal Aid SA Kwa-Mhlanga Satellite Office,Legal Aid South Africa,"
Mpumalanga",(013) 947 3379,,"Erf 538/7, Kwa-Mhlanga, Bankview","
www.legal-aid.co.za",,,-25.4358396,28.7043433
Legal Aid SA Limpopo/Mpumalanga Provincial Office,Legal Aid South Africa,Limpopo,(015) 296 0117,,"Number 3 Cormar Park, Rhodes Drift Avenue, Bendor, Polokwane, 0700","
www.legal-aid.co.za",Ms Mpho Kgabi,,-23.8913958,29.4870201
Legal Aid SA Makhado Local Office,Legal Aid South Africa,Limpopo,(015) 519 1100,,"Noor Gardens, Cnr Krogh & Devenish Street, Louis Trichardt, 0920","
www.legal-aid.co.za",Mr Elton Makhadi,,-23.0378139,29.90839
Legal Aid SA Musina Satellite Office,Legal Aid South Africa,Limpopo,(015) 533 1691,,"Stand No 2110, Nkhata Cresent Street, Nancefield Extension 5, Musina, 0900","
www.legal-aid.co.za",,,-22.3384821,30.0174067
Legal Aid SA Modimolle Local Office,Legal Aid South Africa,Limpopo,(014) 717 4977,,"Shop 8, Nyl Sake Sentrum, Nelson Mandela Drive, Modimolle, 0510","
www.legal-aid.co.za",Ms Confidence Mphaho (Acting),,-24.6976714,28.4023086
Legal Aid SA Lephalale Satellite Office,Legal Aid South Africa,Limpopo,(014) 763 1433,,"2 Booysen Street, 1st floor Stamax Building, 0555","
www.legal-aid.co.za",,,-23.67688,27.73907
Legal Aid SA Polokwane Local Office,Legal Aid South Africa,Limpopo,(015) 291 2429,,"Polokwane High Court, 3rd Floor, Cnr Bodenstein & Biccard Street, Polokwane, 0700","
www.legal-aid.co.za",Mr Thabo Ledwaba,,-23.9130241,29.4575372
Legal Aid SA Mokopane Satellite Office,Legal Aid South Africa,Limpopo,(015) 491 4461,,"Rayveen Complex, 58 Rabe Street, Mokopane, 0626","
www.legal-aid.co.za",,,-24.183249,29.0176692
Legal Aid SA Thohoyandou Local Office,Legal Aid South Africa,Limpopo,(015) 962 6206,,"Shop 2, Metropolitan Complex, Thohoyandou, 0950","
www.legal-aid.co.za",Mr Thomas Madzaga,,-22.9823184,30.447285
Legal Aid SA Tzaneen Local Office,Legal Aid South Africa,Limpopo,(015) 307 3129,,"Office 220-237, Tzaneen Crossing Mall, 2nd Floor, Cnr Lydenburg & Skurving Str, Tzaneen","
www.legal-aid.co.za",Ms Tsakani Maluleke-Sihlangu,,-23.8303485,30.1622887
Legal Aid SA Giyani Satellite Office,Legal Aid South Africa,Limpopo,(015) 812 3065,,"Ground Floor, Old Mutual Building, Giyani Main Road, Giyani, 0826","
www.legal-aid.co.za",,,-23.3103645,30.6913397
Legal Aid SA Phalaborwa Satellite Office,Legal Aid South Africa,Limpopo,(015) 781 0960,,"Shop 4, 32 Wildevey Street, Phalaborwa, 1390","
www.legal-aid.co.za",,,-23.9487817,31.1375219
Legal Aid SA Free State/North West Provincial Office,Legal Aid South Africa,North West,(051) 412 8040 ,,"Hydro Park Building, 100 Kellner Street, Westdene, Bloemfontein, 9301","
www.legal-aid.co.za",Mr Tshotlego Makamedi,,-29.10844,26.20648
Legal Aid SA Klerksdorp Local Office,Legal Aid South Africa,North West,(018) 464 3022,,"19 Bram Fischer Street, Klerksdorp, 2570","
www.legal-aid.co.za",Ms Melinda de Kock,,-26.8667149,26.6665466
Legal Aid SA Wolmaransstad Satellite Office,Legal Aid South Africa,North West,(018) 596 2775,,"Shop No. 12, Kruger Walk Building, 34C Kruger Street, Wolmaransstad, 2630","
www.legal-aid.co.za",,,-27.1974404,25.98112
Legal Aid SA Lichtenburg Local Office,Legal Aid South Africa,North West,(018) 632 7600,,"25 Bantjies Street, Lichtenburg, 2740","
www.legal-aid.co.za",Mr Theriso Mokgwatlheng,,-26.1459543,26.1607992
Legal Aid SA Delareyville Satellite Office,Legal Aid South Africa,North West,(053) 948 1092,,"49 Goewerment Street, Delareyville, 2770","
www.legal-aid.co.za",,,-26.6860746,25.4541771
Legal Aid SA Mafikeng Local Office,Legal Aid South Africa,North West,(018) 381 4582 ,,"Borekelong House, behind Mega City Complex, next to Department of Home Affairs, Mafikeng, 2745","
www.legal-aid.co.za",Ms Victoria Mophulane,,-25.855978,25.64031
Legal Aid SA Potchefstroom Local Office,Legal Aid South Africa,North West,(018) 293 0045,,"44 Dr James Moroka Street, Royal Building,2nd Floor, Potchefstroom, 2531","
www.legal-aid.co.za",Mr Moima Phakedi,,-26.7245693,27.062238
Legal Aid SA Carletonville Satellite Office,Legal Aid South Africa,North West,(018) 787 2346,,"49 A van Zyl, Smit Street, Oberholzer, 2500","
www.legal-aid.co.za",,,-26.3465119,27.389635
Legal Aid SA Rustenburg Local Office,Legal Aid South Africa,North West,(014) 592 3185 ,,"122 Beyers Naude Drive; Albach Building, Rustenburg, 0299","
www.legal-aid.co.za",Ms Charmain Smit,,-25.6705051,27.2458676
